team,conference,net_rank,wab_rank,wab,q1_w,q1_l,q2_w,q2_l,q3_w,q3_l,q4_w,q4_l
Southern Illinois,MVC,284,304,-18.17,0,0,0,0,0,6,8,14
Southern Indiana,OVC,124,130,-7.66,0,1,0,0,0,5,18,4
Southern Miss.,Sun Belt,190,212,-12.26,0,2,0,3,1,1,12,10
Southern Utah,WAC,183,178,-10.11,0,0,0,1,1,5,15,6
St. Bonaventure,Atlantic 10,211,209,-12.03,0,1,0,2,2,1,13,11
St. John's,Big East,100,79,-3.53,0,3,4,2,3,3,15,3
St. Thomas,Summit League,228,207,-12.00,0,2,0,4,0,2,13,8
Stanford,ACC,44,56,-1.69,3,6,3,6,3,0,10,1
Stephen F. Austin,Southland,161,125,-7.42,0,0,0,1,1,3,22,5
Stetson,ASUN,175,141,-8.51,0,1,0,1,1,0,17,9
Stonehill,NEC,337,272,-16.26,0,1,0,0,0,1,11,16
Stony Brook,CAA,245,208,-12.01,0,1,0,1,0,3,15,10
Syracuse,ACC,39,32,2.24,1,7,6,1,3,0,13,0
Tarleton St.,WAC,219,241,-14.19,0,1,0,1,0,4,12,11
TCU,Big 12,12,12,6.90,4,3,10,2,1,0,14,0
Temple,American,140,189,-10.69,0,5,0,2,2,3,13,7
Tennessee,SEC,23,33,2.22,5,11,1,1,2,1,8,0
Tennessee Martin,OVC,256,247,-14.65,0,1,0,0,1,5,9,11
Tennessee St.,OVC,325,330,-20.73,0,2,0,0,1,3,4,19
Tennessee Tech,OVC,222,206,-11.90,0,1,0,0,0,4,13,9
Texas,SEC,4,2,14.75,14,3,5,0,4,0,8,0
Texas A&M,SEC,62,38,1.13,2,9,5,0,2,2,5,1
Texas A&M Corpus Chris,Southland,340,332,-20.80,0,1,0,1,0,3,5,18
Texas Southern,SWAC,335,289,-17.36,0,3,0,0,0,3,6,15
Texas St.,Sun Belt,251,267,-15.79,0,2,0,1,0,4,9,12
Texas Tech,Big 12,31,31,2.36,3,1,5,6,3,0,14,0
Toledo,MAC,149,185,-10.43,0,1,0,3,3,3,13,8
Towson,CAA,229,200,-11.53,0,2,0,0,0,1,16,11
Troy,Sun Belt,77,68,-2.81,0,1,0,3,5,1,19,2
Tulane,American,185,261,-15.39,0,2,0,3,0,4,11,11
Tulsa,American,151,139,-8.21,0,1,1,2,2,4,16,5
UAB,American,197,256,-15.11,0,1,0,1,0,4,11,12
UC Davis,Big West,167,123,-7.34,0,1,0,2,1,3,20,4
UC Irvine,Big West,79,96,-4.63,0,0,0,0,1,2,25,4
UC Riverside,Big West,243,308,-18.31,0,0,0,2,1,7,8,12
UC San Diego,Big West,112,102,-5.77,0,1,1,0,2,1,20,6
UC Santa Barbara,Big West,141,128,-7.60,0,1,0,1,2,2,17,6
